Artist;Genre
Chaka Kenn;Folamour
David Morales;Afro House
Chris Malinchak;Pop
Paul Simon;Folamour
James Morrison;Pop
Des'ree;90/00s
Babybird;Prechill
Florence + the Machine, The xx;Prechill
Nublu, Vaiko Eplik;
Kalabrese, KAYYAK;
Ryder, Skepta;Hip-Hop
Aitch;Neo-Soul
common, Sadat X;Hip-Hop
Tiga;Electronic
DRAMA, Emmaculate;House
Baauer, AJ Tracey, Jae Stephens;Neo-Soul
50 Cent;BPM Supreme
Gram-Of-Fun;Eesti-S
Hiatt DB;Prechill
Larry June, The Alchemist;Hip-Hop
JAY Z;Hip-Hop
ATB;Trance
DE SOFFER, One Trick Pony;Nu-Disco
DJ Alan Quiñonez;Reggaeton
The Trip;Deeper
Suur Papa;Eesti-S
Sigma, MORGAN;Drum&Bass
Maiduk, maria kallastu;Eesti-S
Jacques Greene;Deeper
Charly Angelz;Folamour
Headie One, AJ Tracey, Stormzy;Hip-Hop
Bill Withers;Utility
5MIINUST, SASS HENNO;Eesti-S
Channel Tres;Neo-Soul
Don Dawson;Neo-Soul
Jessy Lanza;Neo-Soul
Isolée;Ambient
Lamchopz;Prechill
Djeff Afrozila, Miranda Nicole;Africano
5MIINUST, Nublu;Eesti-S
Majestic;House
Gay Marvine (Chicago - Street Player);Folamour
Incredible Bongo Band;Utility
Don Low;Beats
Marco Faraone, Greeko;Nu-Disco
Asake ft Burna Boy;BPM Supreme
Maxwell;RnB
Kabbala, Dave Lee;Disco
Bonobo;Folamour
ayla;Trance
Karen Nyame KG, UNiiQU3;Deeper
Todd Terry, Gypsymen;House
Murphy's Law (UK), Max Dean;House
Masters At Work;Soulful House
Kaleta, Bosq;Disco
Inner Circle;Reggae
Bad Bunny;BPM Supreme
Moderat;Progressive
buds;Beats
Phillipi & Rodrigo;Electronic
Sipho Gumede;Brazil
BlaqBonez;Africano
Karen Nyame KG;Beats
Breakbot;Electronic
The Allergies;Folamour
Spencer Ramsay;Mainstream Dance
Tom Misch, Zak Abel;Prechill
Ezel, Earl W. Green;RnB
Kanye West;Hip-Hop
Hot Natured;Prechill
Luther Vandross;Disco
7in7out;Prechill
The Isley Brothers;Funk
Big Boss Vette;BPM Supreme
Djanaba;Prechill
Paco Versailles;Pop
The Streets;Prechill
Blxst & Anderson .Paak;BPM Supreme
Purple Disco Machine;Nu-Disco
Dillistone, NOËP;Eesti-S
Fcukers;Neo-Soul
Titeknots, Pollena;Folamour
Titeknots;Folamour
Cleon;Prechill
Babert;Nu-Disco
DJ Jimi;Hip-Hop
Brandy vs Color Me Badd;BPM Supreme
Magic Flowers;Beats
Rhythm On The Loose;Deeper
Busta Rhymes;Hip-Hop
Bruno Borlone, Boogie Mike;Prechill
The Commodores;Funk
Ol' Dirty Bastard;Hip-Hop
Roman Rauch;Folamour
In Flagranti;Disco
Rene Amesz;House
Crazy Town;90/00s
Skyy;Disco
A Tribe Called Quest;Hip-Hop
Jonah Cruzz;Hip-Hop
Kylie Minogue;House
Jungle;Prechill
Jungle, Erick The Architect;Neo-Soul
Snoop Dogg, E-40, M.C. Eiht, Goldie Loc, Daz Dillinger, Kurupt;Hip-Hop
Joey Purp;Hip-Hop
Rose Royce;Disco
Lexsoul Dancemachine;Eesti-S
Aeroplane;Electronic
Mount Kimbie;Ambient
Joe Cleen;Deeper
Prince Charles & The City Beat Band;Funk
Dc La Rue;Folamour
D.C. LaRue;Folamour
Metro Area;Prechill
Liquid Liquid;Disco
Supermini, Frankie Romano;Nu-Disco
Supermini, Frankie Romano, KEVIN;Mainstream Dance
Max Romeo, The Upsetters;Reggae
Danny Avila;Progressive
Planet Funk;Afro House
Culture Beat;Prechill
Cookin Soul;Beats
Après;Deeper
Seremoniamestari, Em:el, Idän Ihme;Hip-Hop
Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;Reggaeton
Kool & The Gang;Funk
Submotion Orchestra;Ambient
Shakarchi & Stranéus;Prechill
Coeo;Prechill
Vhoor;Beats
Tensnake;Nu-Disco
Dexys Midnight Runners;Retro
Reggie Dokes;Beats
Omar-S;Deeper
LL COOL J, Jennifer Lopez;RnB
TOKiMONSTA;Beats
Black Loops;Beats
LOSTBOYJAY;House
Lucki Starr;RnB
Nublu;Eesti-S
Rhode, brown;Folamour
Tokischa, Sexyy Red;Reggaeton
Nourished by Time;Prechill
LCD Soundsystem;Electronic
Bicep, Hammer;Deeper
Andruss, Juos;Tech-House
Geto Boys;Hip-Hop
Ministry Of Funk;Nu-Disco
Musketeers, Azmo Nawe;Africano
Kublai;Drum&Bass
David Guetta & Sia;BPM Supreme
David Morales, The Face;House
Nas, DJ Premier;Hip-Hop
Mr. Oizo;Rave
Detroit In Effect;Deeper
Andy Hart;Prechill
Earth, Wind & Fire;Disco
Mozambo;Afro House
Diana Ross;BPM Supreme
Abstract Orchestra;Prechill
Lektor Scopes;Beats
Cloud One;Disco
Seaquence;Funk
DJ Mustard ft TY$ & Joe Moses;BPM Supreme
DJ Overule;BPM Supreme
Chalres J;Nu-Disco
Doechii vs Bad Bunny;BPM Supreme
Oliver Dollar;Folamour
Pet Shop Boys;Retro
Dimitri From Paris, DJ Rocca, Tim Benton;Nu-Disco
Joey Bada$$, CJ Fly;Hip-Hop
Harold Melvin, The Blue Notes;Disco
Jafunk, Triple H Horns, Stefan Mahendra;Disco
Qendresa;Prechill
Odyssey;Disco
Quantic, Ana Tijoux;Utility
Azzido Da Bass, Stevo Wilcken;Electronic
Disclosure, Fatoumata Diawara;House
Vincent Caira;Folamour
Drake;BPM Supreme
DJ T Marq;Jersey Club
Sparrow & Barbossa;Deeper
Soa mattrix, DJ Maphorisa;Africano
aMEME;Afro House
K-LONE;Deeper
Earnest J;Deeper
Silk City, Diplo, Dua Lipa, Mark Ronson;Folamour
Silk City, Diplo;House
Elements of Life;Folamour
Leeb;Reggaeton
Angelo Ferreri;Nu-Disco
Scooter;Trance
Nagy Bögö & Maris Pihlap;Eesti-S
Mosimann;House
Sky Rompiendo, Rauw Alejandro;Reggaeton
Wizkid, Tems;Africano
Marcos Valle;Brazil
Hubbabubbaklubb;Deeper
TIM GREEN;Deeper
Claptone;House
Tommy Cash;Eesti-S
HP Vince, Dave Leatherman;Nu-Disco
Rozalla;90/00s
Nicki Minaj, Lil Uzi Vert;Jersey Club
Piero Pirupa;Tech-House
DJU DJU;Beats
Electric Light Orchestra;Retro
The Alchemist;Hip-Hop
ChrIs, Cosey;Prechill
Freddie Gibbs, Black Thought;Hip-Hop
Arpy Brown;Folamour
Jamie xx;Prechill
George Michael;Prechill
Soul Minority;Soulful House
Patrice Rushen;Disco
Tiga, Audion;Electronic
Voilaaa, Ayuune Sule;Prechill
JazziDisciples, Mporoza, Thlopzin;Africano
Ninetoes, Fatboy Slim;Prechill
Ninetoes;Folamour
Flamingosis;Beats
Foul Play;Deeper
Black Light Smoke, Léah Lazonick;Deeper
Calvin Harris;Mainstream Dance
Lenny Kravitz;Retro
Steve Miller Band;Retro
Seal;Retro
Igor Savin;Brazil
The Stone Roses;Retro
Paul van Dyk;Trance
Amber Mark;Drum&Bass
Mut4y;Africano
Marc Romboy, Blake Baxter;Deeper
Tony Perry;Mainstream Dance
Free Nationals ft Mac Miller & Kali Uchis;BPM Supreme
Disco Incorporated;Nu-Disco
Pharrell Williams, JAY Z;RnB
Umblu & Diva Avari;Folamour
Jimmy Edgar;Beats
Clipse;Hip-Hop
Noizu;Tech-House
Silva Bumpa;House
Foxy Brown, Blackstreet;RnB
Jazzy Dee;Disco
Byron Stingily;House
Quantic, Los Miticos Del Ritmo;Utility
Armand Van Helden, The Horse;Folamour
Bill Laswell;Beats
Robson Jorge, Lincoln Olivetti;Brazil
Giorgio Moroder;BPM Supreme
Tony Hughes, JRJ;Folamour
Grandtheft;Beats
DJ Moma;Africano
5MIINUST;Eesti-S
Tynetta Hare;Utility
Ollie Lishman;House
Bill Conti;Utility
D.P.V.;Folamour
Rocky Orchestra;Funk
Basement Jaxx, Lisa Kekaula;House
Mwuana;Neo-Soul
Simula;Drum&Bass
Dam Swindle;Folamour
Cheryl Lynn;Disco
Tapesh, Dayne S;Deeper
Wu-Tang Clan, RZA, Method Man, Ghostface Killah, Raekwon, U-God;Hip-Hop
Borrowed Identity, Mechanical Soul Brother;Folamour
Zhané;RnB
Oscar Mbo, C-Blak;Prechill
Spiller, Sophie Ellis-Bextor;90/00s
Spiller;Folamour
The S.O.S Band;Disco
Yilberking;Reggaeton
Beatsbyhand, Kali Mija;Africano
Karizma, Nicholas Ryan Gant;Soulful House
The Organism;Progressive
Usio;Folamour
Susana Estrada;Brazil
Mijangos, George Vibe;Afro House
Francis Inferno Orchestra;Deeper
Tyga, J Balvin, Chris Brown;RnB
Submorphics;Drum&Bass
Kanye West, Adam Levine;Hip-Hop
Sango;Beats
Late London;Tech-House
The Deepshakerz, nhan solo, DiVine;House
Akwa;Folamour
4 Hero, Lady Alma;Prechill
Elton John, Britney Spears;Nu-Disco
Taiki Nulight;House
Dizzee Rascal;Mainstream Dance
Agua Re;Prechill
Dâm-Funk;Beats
Enlightenment;Drum&Bass
Megan Thee Stallion, Ty Dolla $ign, Nicki Minaj;RnB
Champion, Sammy Virji;Neo-Soul
DJ Steaw;Deeper
Jam City;Beats
Aroop Roy;Folamour
The Deadbeats;Prechill
Yuksek;Folamour
Lykke Li;Mainstream Dance
Inner Life;Folamour
Teena Marie;Disco
Narada Michael Walden;Folamour
Julien Fade, SUBCERA;House
Saturday, Monday;Folamour
Jody Watley;Prechill
Chic;Folamour
Gloria Gaynor;Disco
Fonzi Thornton;Disco
warner case, Jean Tonique;Deeper
Culture Club;Retro
Kid Creole, The Coconuts;Retro
WIZDOM;Prechill
G.C. Cameron;Folamour
Amant;Disco
Lizzo;RnB
The Dixie Cups;Retro
Andre Crom, Martin Dawson;Folamour
808 State;Deeper
Benjamin Diamond;Nu-Disco
The Cool Notes;Disco
Shapeshifters;Soulful House
LOGIC, Wiz Khalifa;Hip-Hop
Alphadog;Progressive
FAMILY OF FEW;Deeper
Martin Solveig, Good Times Ahead;Mainstream Dance
The xx;Ambient
Rob Base, DJ EZ Rock;90/00s
DJ Nu-Mark;Prechill
The Jimmy Castor Bunch;Funk
Dr Alban;90/00s
Todd Terje;Folamour
Down Low;Utility
Jorja Smith & Burna Boy;BPM Supreme
Souxsoul;Nu-Disco
Dj Phats;Deeper
Genka, Tarvo Valm;Eesti-S
Guille Placencia, George Privatti;Tech-House
The Deepshakerz;Afro House
slave;Disco
Dr. Dre;Hip-Hop
Traffic, Clicherik & Mäx;Eesti-S
Nebraska;Folamour
Lupe Fiasco;Hip-Hop
Arop;Eesti-S
Prince, The Revolution;Retro
candyman;Hip-Hop
Daniel Avery;Deeper
Genka & Paul Oja, Rolf Roosalu;Eesti-S
Lil Till, Nublu;Eesti-S
Maxtract, Genka;Eesti-S
Genka & Paul Oja, Tehnoloogiline Päike;Eesti-S
Bad Bunny, El Alfa;Reggaeton
Star Slinger, Teki Latex;Beats
Mark Knight, James Hurr;House
Ajimovoix Drums, Terry Pro;Africano
Metsatöll;Eesti-S
DJ Spinna;Prechill
Donald Byrd;Funk
N.E.R.D, Vita, Lee Harvey;RnB
Larry June & The Alchemist;BPM Supreme
The One Shanti;Hip-Hop
Drake, Lil Durk;Hip-Hop
Maiduk;Eesti-S
An-2, Acos Coolkas;Prechill
An-2;Prechill
Tyga, Kyndall;Neo-Soul
Fred again.., Baby Keem;House
Konstantin Sibold;Folamour
WheelUP, Abacus;Folamour
Dazz Band;Disco
Jullian Gomes, Kuniyuki Takahashi, SIO;Deeper
Chuckie, LMFAO;EDM
Rainbow Team;Disco
Nitro DeLuxe;House
Danny Brown;Hip-Hop
Mano Le Tough;Deeper
Dingo;Utility
Lil' Kim;Hip-Hop
Magnetic Band;Eesti-S
Paul Russell;Mainstream Dance
Barrio Jazz Gang;Brazil
phoenix;Electronic
James Brown;Funk
Bebu Silvetti;Brazil
SIMONA;Neo-Soul
Dot N Life, Jen Payne;Tech-House
The Main Ingredient;Retro
Intelligent Manners;Drum&Bass
Faith Evans;RnB
Mtume;Funk
Casual Connection;Nu-Disco
Baby Rollen;Deeper
Humate;Trance
Layo & Bushwacka;Electronic
First Choice;Disco
DJ Kaos;Prechill
Little Dragon;Prechill
BRIDGE;Disco
Kiki Gyan;Prechill
Serum;Drum&Bass
Serum, Inja;Drum&Bass
MOMO;Folamour
Iggy Pop;Retro
GAVRI, Jean Claude;Folamour
Gay Marvine;Folamour
Detroit's Filthiest;Neo-Soul
Manipulated Mindz;Eesti-S
Smilers;Eesti-S
Nas;Hip-Hop
Sergio Mendes;Brazil
joshwa;Tech-House
Circle City Band;Folamour
Jüri Pootsmann;Eesti-S
Durante;Ambient
Lee Rodriguez;Deeper
The Barking Dogs, Marcelo Burlon;Deeper
AZIMUTH;Brazil
Niniola;Africano
Santana, The Product G&B;RnB
Marvin Gaye;BPM Supreme
Cortex;Prechill
Marju Kuut, Apelsin;Eesti-S
DJ Mbuso, Bee-Bar;Africano
Pleasure Voyage;Deeper
Jan Hammer;Utility
Tigerskin;Deeper
Sascha Ciminiera;Prechill
Scarface;Hip-Hop
Luxury SA;Neo-Soul
TheDjLawyer;Nu-Disco
Everything But The Girl, Todd Terry;90/00s
Jim-E Stack;Ambient
Fouk;Folamour
Mooqee & Beatvandals;BPM Supreme
Captain Hollywood Project;90/00s
Universal Togetherness Band;Funk
Xpansions;Folamour
Junior Senior;Mainstream Dance
Sam Tyler;Deeper
Suzanne Kraft;Deeper
Shabba Ranks, Chevelle Franklin;Reggae
Outkast;Hip-Hop
12eek Monkey;Eesti-S
Felipe Allenn, Jaydon Lewis, Bryn Christopher;EDM
Muzik Junkies vs DJ Morphius & Don Omar;BPM Supreme
Softmal, Nytron;Nu-Disco
The Temptations;Utility
Grace Jones;Funk
Khia;RnB
Champion, Daliya Nava;Neo-Soul
Genka & Paul Oja, Põhja Konn;Eesti-S
Leslie Da Bass, Elastiknaine, Genka;Eesti-S
Kraak & Smaak, Ivar Vermeulen, Berenice van Leer;Folamour
Kraak & Smaak, Ivar, Berenice van Leer;Prechill
Soul Clap;Folamour
High Contrast;Drum&Bass
Bacao Rhythm, Steel Band;Prechill
Bob James;Funk
Twilight Trio;Utility
Toners;Utility
Zed Bias;House
Gianni Romano, Emanuele Esposito;Afro House
Chronixx;Reggae
Kungs;Mainstream Dance
Busta Rhymes, Swizz Beatz;Hip-Hop
Show & A.G.;Hip-Hop
Nicki Minaj;BPM Supreme
Storm Mollison;House
Kavinsky;Utility
The Jones Girls;Disco
Jüri Pootsmann, 5MIINUST, SASS HENNO;Eesti-S
Brokenears;Folamour
Gayance, Jarreau Vandal;Neo-Soul
Novelist;Hip-Hop
Knxwledge;Beats
LAINE;Eesti-S
Naughty By Nature;RnB
Logic1000;Deeper
Mac Miller;Prechill
Shaggy;90/00s
Cherine;Reggae
A Tribe Called Quest, Busta Rhymes;Hip-Hop
Pirita;Eesti-S
Baby Prince;Deeper
Omar S, Diviniti;Deeper
Calvin Harris, Dua Lipa;Mainstream Dance
Missy Elliott, Ludacris;RnB
Steve Monite;Folamour
Theophilus London;Disco
Mark Ronson, Ghostface Killah, Nate Dogg, Trife, Saigon;Neo-Soul
De La Soul;Hip-Hop
Bicep;Deeper
Murder He Wrote;Deeper
Asake;Africano
Urulu;Prechill
Florence Adooni;Brazil
Anthony Naples;Deeper
The Prodigy;Rave
Yes;Retro
Tito Puente;Utility
Schoolly D;Hip-Hop
Orion;Hip-Hop
Adam Stacks;Folamour
Paula Tape;Deeper
Dee Montero;Progressive
Toe Tag;Eesti-S
Arel, Schaefer;House
Ouu, Florian Wahl;Eesti-S
Eljee;RnB
Peggy Gou;BPM Supreme
Arrested Development;Prechill
Ongun Tutuncu;Beats
LL COOL J;RnB
Reverso 68;Folamour
Seth Troxler;Deeper
DJ Holographic;Deeper
Très Mortimer;Tech-House
Mooqee, Beatvandals;Folamour
John Holt;Reggae
Poppers;Folamour
Jarami;Prechill
Páula, Povoa, & Jerge;Folamour
DJ Quik;Hip-Hop
DJ Mark Brickman;Folamour
Pump It Louder;Pop
Genka & Paul Oja, Starboy Bob;Eesti-S
Kid Cudi, MGMT, Ratatat;EDM
Gesaffelstein;Rave
Fedde Le Grand;Trance
Aksim;Hip-Hop
Lavazza Feex;Beats
Ed Solo, Deekline;Drum&Bass
Steve Kekana;Disco
Wiz Khalifa, Girl Talk;RnB
Lisa Li, DJ YK;Africano
Mary J. Blige;RnB
Sqwad;Tech-House
Loods;Folamour
arodes, Moojo;Afro House
The Game, Lil Wayne;Hip-Hop
Cabu;Africano
Tom Middleton;Folamour
Rioleval;Deeper
Mark Morrison;Prechill
First Floor;Folamour
SNAP!;90/00s
Diva Avari, The French House Mafia;Folamour
Rick James;BPM Supreme
J Dilla;Beats
SWV;RnB
Fatboy Slim;90/00s
Netsky, Digital Farm Animals;EDM
DJ GUDOG;Beats
Robin Juhkental;Eesti-S
Robin S;BPM Supreme
Daft Punk;Electronic
The Clash;Retro
Full Crate, GANGS OF KIN, Elique;Africano
The Velvet Stripes;Folamour
RWND ft Matt Yonge;BPM Supreme
Sabrina Carpenter vs Snoop Dogg;BPM Supreme
Madlib;Beats
ENIGMA;Utility
A-Rühm, Pearu Paulus;Eesti-S
SunAR;Afro House
Bellini;90/00s
Born Dirty, Diplo;House
Sean Innit;Folamour
Mall Grab;Deeper
Rampa, Adam Port, &ME, chuala, Keinemusik;Afro House
Wiz Khalifa;Hip-Hop
A Tribe Called Quest, Busta Rhymes, Dinco D, Charlie Brown;Hip-Hop
Misha Panfilov;Prechill
Jamie xx, Four Tet, Romy;Deeper
Jamie xx, Romy;Prechill
Põhja Konn;Eesti-S
Serafin ft Pitbull & Lil Jon;BPM Supreme
Dr. Hook;Disco
Prince, The New Power Generation;90/00s
Dansson, Marlon Hoffstadt;Tech-House
Manujothi;Folamour
Was (Not Was);Soulful House
Carl Carlton;Disco
Kwiish SA, Tallarsetee;Africano
Everett James;Ambient
DJ Marky;Drum&Bass
Big Boi, cutty;Hip-Hop
Snoop Dogg, Charlie Wilson, Justin Timberlake;RnB
Dombresky;House
Malcolm Lincoln;Eesti-S
PARADISE;Disco
Daphni, PARADISE;Folamour
Luurel Varas;Eesti-S
Flume, Jezzabell Doran;Prechill
War;Retro
Oddisee;Beats
Softmal & Nytron;BPM Supreme
Cece Rogers;Soulful House
Range Manager;Ambient
RITUAL;Prechill
The Brand New Heavies, The Pharcyde;Prechill
Manu Dibango;Prechill
Babylon Zoo;90/00s
Ellis, NOËP;Eesti-S
Silvetti;Retro
Akcept;Reggae
The Weeknd, Daft Punk;Pop
Groovy 69;Folamour
GAWP;Tech-House
Nikki Nair;Rave
Tony Jackson;Funk
Session Victim;Folamour
Migos;Hip-Hop
NxWorries;Prechill
Regatt;Eesti-S
The Underdog Project;Trance
Tiga, Zyntherius;Electronic
Kerri Chandler;Deeper
Romare;Deeper
Novy, Eniac;House
8D sped up viral audios, Creamy, 11:11 Music Group;Neo-Soul
St Germain;Prechill
Jarek Kasar;Eesti-S
White Girl;Eesti-S
Danny Byrd, Liquid;Drum&Bass
Liquid;Deeper
Ozuna;Reggaeton
Vera;Disco
PillowTalk;Prechill
Stetsasonic;Hip-Hop
MARTA LOTTA;Eesti-S
Cywil;Deeper
Redel;Eesti-S
Idris Muhammad;Funk
Massive Attack, Elizabeth Fraser;Ambient
Cypress Hill;Hip-Hop
Cypress Hill, Barron Ricks;Hip-Hop
Gil Scott-Heron;Funk
The Champs;BPM Supreme
Close Counters;Neo-Soul
Franck Roger;Deeper
Glenn Frey;Retro
The Knocks ft Foster The People;BPM Supreme
Roxette;90/00s
Hey Cabrera!, Johannes Albert;Folamour
Mark Knight, Armand Van Helden;House
Sandy Rivera, Jose Burgos;Folamour
Concept Neuf;Folamour
&ME, Black Coffee;Afro House
The Roots, Cody ChestnuTT;Hip-Hop
The Power Of Three, Vanessa Freeman;Folamour
Moloko;Soulful House
Barrington Levy;Reggae
Logic;Deeper
Rhythm Heritage;Funk
James Silk;Folamour
Jack J;Prechill
DJ Shadow;Prechill
Body Copy;Deeper
Tiësto ft Oaks;BPM Supreme
High Tide;Deeper
Rotkraft;Prechill
Frazelle;Disco
First Touch;Disco
Township Funk;Beats
KAYTRANADA;Neo-Soul
Workerz;Folamour
Block & Crown;Nu-Disco
Damien N-Drix, Mosimann, STV;Tech-House
Bas, J. Cole;RnB
Ago;Disco
Daniel Haaksman, Deize Tigrona;Beats
Ty Dolla S ft B.O.B.;BPM Supreme
Kalle Kinos, 6mäki;Hip-Hop
MC Hammer;90/00s
96 Vibe, Namik, RaeCola;Afro House
Olefunken;Prechill
Gnucci, Tami T;Electronic
Julio Bashmore;Deeper
Ralphi Rosario;Folamour
Sly5thAve, The Clubcasa Chamber Orchestra;Prechill
Mad Honey, Another Taste;Folamour
Mavis John;Prechill
Bruno Furlan;Afro House
Kuradi Saar;Eesti-S
B Forrest;House
Tom Novy, BELLA;Nu-Disco
Righeira;Retro
Cheek;Folamour
Antdot, Paulo Novaes, Dawn Patrol, Nina Oliveira;Afro House
Petter;Hip-Hop
Marcus Intalex;Drum&Bass
Baltra;Deeper
Flash & The Pan;Retro
RUN-DMC, Aerosmith;Retro
Central Line;Disco
Paul Nice;Funk
Will Connell, Marcos Valle;Neo-Soul
Nacho Scoppa;Tech-House
PP DIAZ;Afro House
Sister Sledge;Disco
Justice, Simian;Electronic
Jadakiss, Styles P;Hip-Hop
Johnny Osbourne;Funk
Dej Loaf;Hip-Hop
Arnie Love & The Lovelettes;Funk
Steve Arrington's Hall Of Fame;Funk
Poppy Ajudha, Twin Palms, Captain Planet, Raphael Futura;Neo-Soul
Lovers;Folamour
Captain Awy;Hip-Hop
Cid;Tech-House
Grandmaster Flash, Melle Mel;Hip-Hop
